Ttrailers_data
time,flow2h2s
2012-01-01 00:00:00,-0.021867250171375058
2012-01-01 00:15:00,-0.04148029212034378
2012-01-01 00:30:00,-0.003455106480535791
2012-01-01 00:45:00,0.01726084415233428
2012-01-01 01:00:00,0.06388706878110481
2012-01-01 01:15:00,0.0478312469732804
2012-01-01 01:30:00,0.02278384333407208
2012-01-01 01:45:00,0.008918309401246431
2012-01-01 02:00:00,0.0012425856427781407
2012-01-01 02:15:00,0.012592913308576495
2012-01-01 02:30:00,0.040462383501142646
2012-01-01 02:45:00,0.017059346948906876
2012-01-01 03:00:00,0.03175867368361901
2012-01-01 03:15:00,0.03436030743076448
2012-01-01 03:30:00,0.06844773214632377
2012-01-01 03:45:00,0.05226996182816074
2012-01-01 04:00:00,0.031080420317689483
2012-01-01 04:15:00,0.03216334403656208
2012-01-01 04:30:00,0.02749361092727927
2012-01-01 04:45:00,0.017877726130005024
2012-01-01 05:00:00,0.02895742156339131
2012-01-01 05:15:00,-0.018070009119213755
2012-01-01 05:30:00,-0.03067925334341902
2012-01-01 05:45:00,0.007873657136134068
2012-01-01 06:00:00,0.017696508172666686
2012-01-01 06:15:00,0.011281215132636017
2012-01-01 06:30:00,0.04928851749424517
2012-01-01 06:45:00,0.09786634946652853
2012-01-01 07:00:00,0.1
2012-01-01 07:15:00,0.1
2012-01-01 07:30:00,0.1
2012-01-01 07:45:00,0.08342299357959407
2012-01-01 08:00:00,0.1
2012-01-01 08:15:00,0.1
2012-01-01 08:30:00,0.1
2012-01-01 08:45:00,0.062335939465706126
2012-01-01 09:00:00,0.08934224739798691
2012-01-01 09:15:00,0.08517483007196197
2012-01-01 09:30:00,0.07255207923136428
2012-01-01 09:45:00,0.1
2012-01-01 10:00:00,0.09523250345970391
2012-01-01 10:15:00,0.1
2012-01-01 10:30:00,0.06290784384574818
2012-01-01 10:45:00,0.07274919885586124
2012-01-01 11:00:00,0.1
2012-01-01 11:15:00,0.1
2012-01-01 11:30:00,0.1
2012-01-01 11:45:00,0.07258673674399697
2012-01-01 12:00:00,0.0253256723546878
2012-01-01 12:15:00,0.05817852854934842
2012-01-01 12:30:00,0.05394480092699358
2012-01-01 12:45:00,0.025764152039552162
2012-01-01 13:00:00,0.06808386986256504
2012-01-01 13:15:00,0.07650375231689943
2012-01-01 13:30:00,0.06798459347816195
2012-01-01 13:45:00,0.1
2012-01-01 14:00:00,0.1
2012-01-01 14:15:00,0.1
2012-01-01 14:30:00,0.1
2012-01-01 14:45:00,0.1
2012-01-01 15:00:00,0.05443429898069967
2012-01-01 15:15:00,0.08499837816767092
2012-01-01 15:30:00,0.1
2012-01-01 15:45:00,0.1
2012-01-01 16:00:00,0.1
2012-01-01 16:15:00,0.1
2012-01-01 16:30:00,0.1
2012-01-01 16:45:00,0.09941091483567473
2012-01-01 17:00:00,0.1
2012-01-01 17:15:00,0.1
2012-01-01 17:30:00,0.07041037943742223
2012-01-01 17:45:00,0.047973004522514094
2012-01-01 18:00:00,0.0378878637681596
2012-01-01 18:15:00,0.051615210857536356
2012-01-01 18:30:00,0.004545013328455659
2012-01-01 18:45:00,0.04005928741091407
2012-01-01 19:00:00,0.08655738510292149
2012-01-01 19:15:00,0.05514753697242388
2012-01-01 19:30:00,0.06501044307677876
2012-01-01 19:45:00,0.1
2012-01-01 20:00:00,0.1
2012-01-01 20:15:00,0.1
2012-01-01 20:30:00,0.1
2012-01-01 20:45:00,0.1
2012-01-01 21:00:00,0.1
2012-01-01 21:15:00,0.0768941321898697
2012-01-01 21:30:00,0.1
2012-01-01 21:45:00,0.08981786574053346
2012-01-01 22:00:00,0.1
2012-01-01 22:15:00,0.091466266813946
2012-01-01 22:30:00,0.1
2012-01-01 22:45:00,0.05071978020190515
2012-01-01 23:00:00,0.004758009653635958
2012-01-01 23:15:00,-0.037684661364572034
2012-01-01 23:30:00,-0.06261348154131188
2012-01-01 23:45:00,-0.04757418082293896
2012-01-02 00:00:00,-0.054417500338428806
2012-01-02 00:15:00,-0.09353059265813896
2012-01-02 00:30:00,-0.09061167430351011
2012-01-02 00:45:00,-0.0503189675897978
