Hp_data
time,Q_Demand,heat_source_T,cond_in_T,cons_T,T_amb
2012-01-01 00:00:00,5001.789885945696,11.347695408923803,53.58376196179602,67.47307117607707,18.938841927907646
2012-01-01 00:15:00,5000,11.996547629283612,53.65354906656998,67.92130742780948,19.296420639466497
2012-01-01 00:30:00,5000,12.232984934348623,54.14131603049234,67.43278140725585,18.957918293311558
2012-01-01 00:45:00,5000,12.142515778229452,53.79441762865773,67.49129638106189,18.668560629513802
2012-01-01 01:00:00,5000,13.134722740164792,54.714945774615195,68.0237793428188,17.677114840098035
2012-01-01 01:15:00,5002.200418351808,12.391309021770118,54.65501230618262,68.05070504330935,17.764006515209033
2012-01-01 01:30:00,5070.607438053423,11.785742662137848,55,68.14977611802358,18.50250175420346
2012-01-01 01:45:00,5051.490973194309,12.703938391416228,54.99392869740006,68.35601517576231,19.244105093995703
2012-01-01 02:00:00,5039.964804071507,12.772218033130054,54.53636492282974,68.68494972259882,18.366125922936874
2012-01-01 02:15:00,5000,13.449595824801685,54.76165004150102,68.10601426622613,17.876393493340643
2012-01-01 02:30:00,5069.582708737718,13.707977841021894,54.45721076380697,67.36939186944817,18.348717302246342
2012-01-01 02:45:00,5140.256716891166,14.434889033762838,53.78592141822725,67.6435460185312,18.68174774498541
2012-01-01 03:00:00,5233.08737978589,14.795701628590558,54.66001372879144,67.10035091445258,17.947756583087934
2012-01-01 03:15:00,5147.865360265151,14.303674074708322,55,67.48349768140419,17.508139712898984
2012-01-01 03:30:00,5153.227899622972,15.084246009147236,55,67.12826599978104,16.568388884755414
2012-01-01 03:45:00,5084.855101365295,14.923886716362095,55,66.47064695899866,17.07882215988567
2012-01-01 04:00:00,5084.015230296908,14.955125941109364,55,67.08835918400757,16.723568563620503
2012-01-01 04:15:00,5060.448475110896,15.628832907856452,54.57832985731066,67.93052345248654,17.14605739159683
2012-01-01 04:30:00,5102.914630675315,16.320386951794156,55,67.2736961785859,16.284270886646834
2012-01-01 04:45:00,5176.739270573842,16.710735156185432,54.78454903182262,67.41635030783141,16.98747753309452
2012-01-01 05:00:00,5271.284703256319,16.781934762044862,55,66.44824326545516,16.603402583826544
2012-01-01 05:15:00,5186.800280483194,17.20379386149869,54.56919236491242,66.4077092910224,17.47345301366143
2012-01-01 05:30:00,5223.363344335115,16.360066605897604,54.99272487833146,65.98606039714893,16.612385327267035
2012-01-01 05:45:00,5216.464867893883,16.44485221363597,55,65.44707012486069,15.886015131925834
