Qproduct_data
time,qproduct
2012-01-01 00:00:00,251.81921095885187
2012-01-01 00:15:00,245.29167042470544
2012-01-01 00:30:00,245.01405993798497
2012-01-01 00:45:00,213.41431108004278
2012-01-01 01:00:00,240.90549821924796
2012-01-01 01:15:00,226.05199099775538
2012-01-01 01:30:00,242.72851486295386
2012-01-01 01:45:00,195.55744745244206
2012-01-01 02:00:00,147.23789927073858
2012-01-01 02:15:00,176.4050336306468
2012-01-01 02:30:00,194.72016914306352
2012-01-01 02:45:00,185.79678836776182
2012-01-01 03:00:00,151.18913539672866
2012-01-01 03:15:00,200.5732662400355
2012-01-01 03:30:00,173.3178522904589
2012-01-01 03:45:00,165.73138497468878
2012-01-01 04:00:00,143.36393513849
2012-01-01 04:15:00,156.03428978715513
2012-01-01 04:30:00,183.96403520969534
2012-01-01 04:45:00,197.2018880700386
2012-01-01 05:00:00,174.90877182335032
2012-01-01 05:15:00,220.74583627069322
2012-01-01 05:30:00,212.49984517523143
2012-01-01 05:45:00,219.6697141702973
2012-01-01 06:00:00,184.03918650343556
2012-01-01 06:15:00,182.8936289131579
2012-01-01 06:30:00,213.49489641202427
2012-01-01 06:45:00,171.44399098323873
2012-01-01 07:00:00,167.34890575967177
2012-01-01 07:15:00,157.55130301692844
2012-01-01 07:30:00,197.19962273952257
2012-01-01 07:45:00,235.87806927806352
2012-01-01 08:00:00,243.08593995974215
2012-01-01 08:15:00,203.34654787073413
2012-01-01 08:30:00,252.91200014540792
2012-01-01 08:45:00,210.86377540556117
2012-01-01 09:00:00,248.88183916508478
2012-01-01 09:15:00,294.55590066436446
2012-01-01 09:30:00,300.46002664978397
2012-01-01 09:45:00,340.06313695641586
2012-01-01 10:00:00,295.154066208082
2012-01-01 10:15:00,262.09737417636825
2012-01-01 10:30:00,216.86481608936833
2012-01-01 10:45:00,256.1617012857847
2012-01-01 11:00:00,272.4699414702166
2012-01-01 11:15:00,295.6211776944925
2012-01-01 11:30:00,332.4171192374158
2012-01-01 11:45:00,339.71764983816087
2012-01-01 12:00:00,332.72697238529224
2012-01-01 12:15:00,342.4820733263004
2012-01-01 12:30:00,345.7460192000676
2012-01-01 12:45:00,350.2095650484763
2012-01-01 13:00:00,334.3835763819061
2012-01-01 13:15:00,286.125462379884
2012-01-01 13:30:00,265.66162504794335
2012-01-01 13:45:00,261.26970316424536
2012-01-01 14:00:00,273.7778134475758
2012-01-01 14:15:00,292.69038149315503
2012-01-01 14:30:00,337.6203945591594
2012-01-01 14:45:00,330.71300638168896
2012-01-01 15:00:00,357.4752804441013
2012-01-01 15:15:00,398.0729142636113
2012-01-01 15:30:00,352.0100653320839
2012-01-01 15:45:00,355.5091315551062
2012-01-01 16:00:00,338.6317544341888
2012-01-01 16:15:00,291.3961417000538
2012-01-01 16:30:00,319.7190954481481
2012-01-01 16:45:00,313.08047508145427
2012-01-01 17:00:00,339.8310582796769
2012-01-01 17:15:00,303.64286026539605
2012-01-01 17:30:00,300.797271920484
2012-01-01 17:45:00,307.76030423730026
2012-01-01 18:00:00,267.42396031169693
2012-01-01 18:15:00,240.4938699402536
2012-01-01 18:30:00,283.1848499298188
