Qstorage_data
time,flow2qs
2012-01-01 00:00:00,162.9526851290509
2012-01-01 00:15:00,9.554394616515083
2012-01-01 00:30:00,-120.80969193440541
2012-01-01 00:45:00,-189.46434642148643
2012-01-01 01:00:00,-180.50532760022966
2012-01-01 01:15:00,-157.82494719255112
2012-01-01 01:30:00,-51.57420524041487
2012-01-01 01:45:00,-118.11619240523996
2012-01-01 02:00:00,3.4007304323583583
2012-01-01 02:15:00,43.285284721941565
2012-01-01 02:30:00,50.1846391962907
2012-01-01 02:45:00,60.74105775648161
2012-01-01 03:00:00,0.930920222776507
2012-01-01 03:15:00,-140.284118550535
2012-01-01 03:30:00,-140.73814500648797
2012-01-01 03:45:00,-61.54838482001924
2012-01-01 04:00:00,76.89732094713867
2012-01-01 04:15:00,153.89021630252074
2012-01-01 04:30:00,135.80388961740192
2012-01-01 04:45:00,293.3920232319098
2012-01-01 05:00:00,259.91847070880067
2012-01-01 05:15:00,339.5709044368745
2012-01-01 05:30:00,400
2012-01-01 05:45:00,322.89676522056095
2012-01-01 06:00:00,186.67975311636985
2012-01-01 06:15:00,165.2042416944946
2012-01-01 06:30:00,62.4700970813534
2012-01-01 06:45:00,221.33057234047578
2012-01-01 07:00:00,228.103870752739
2012-01-01 07:15:00,302.74473694798854
2012-01-01 07:30:00,400
2012-01-01 07:45:00,400
2012-01-01 08:00:00,202.29908158296976
2012-01-01 08:15:00,43.14295790332349
2012-01-01 08:30:00,-145.44689273762955
2012-01-01 08:45:00,-200
2012-01-01 09:00:00,-48.06574160188222
2012-01-01 09:15:00,-181.52058830424812
2012-01-01 09:30:00,-165.21333067171577
2012-01-01 09:45:00,16.26821553163353
2012-01-01 10:00:00,96.00902973619196
2012-01-01 10:15:00,192.89485665515548
2012-01-01 10:30:00,263.68354224307745
2012-01-01 10:45:00,352.0044748683283
2012-01-01 11:00:00,400
2012-01-01 11:15:00,317.8518161773258
2012-01-01 11:30:00,400
2012-01-01 11:45:00,400
2012-01-01 12:00:00,204.37550322014837
2012-01-01 12:15:00,351.53468117171144
2012-01-01 12:30:00,400
2012-01-01 12:45:00,291.2220488097946
2012-01-01 13:00:00,400
2012-01-01 13:15:00,400
2012-01-01 13:30:00,400
2012-01-01 13:45:00,382.7065844098422
2012-01-01 14:00:00,275.7002417143766
2012-01-01 14:15:00,216.6769972425889
2012-01-01 14:30:00,241.5656112930497
2012-01-01 14:45:00,248.89697196439016
2012-01-01 15:00:00,143.3921340538482
2012-01-01 15:15:00,24.2321568536035
2012-01-01 15:30:00,55.61604342268606
2012-01-01 15:45:00,221.2627432757305
2012-01-01 16:00:00,374.59274760793824
