Qdemand_i_data
time,qdemand
2012-01-01 00:00:00,161.49577592556824
2012-01-01 00:15:00,200.55351933720505
2012-01-01 00:30:00,205.55811252479717
2012-01-01 00:45:00,164.34981027858512
2012-01-01 01:00:00,117.05216350414281
2012-01-01 01:15:00,145.587535195031
2012-01-01 01:30:00,126.14937362096173
2012-01-01 01:45:00,80.8072541048548
2012-01-01 02:00:00,103.67692456611512
2012-01-01 02:15:00,132.4462362339305
2012-01-01 02:30:00,105.73034868892951
2012-01-01 02:45:00,81.66168130323402
2012-01-01 03:00:00,129.49975080299572
2012-01-01 03:15:00,174.21233103714542
2012-01-01 03:30:00,126.68534212182084
2012-01-01 03:45:00,164.69187499169306
2012-01-01 04:00:00,153.65207164173032
2012-01-01 04:15:00,131.74599364059446
2012-01-01 04:30:00,83.39601018603128
2012-01-01 04:45:00,91.18125019884917
2012-01-01 05:00:00,121.38048351450128
2012-01-01 05:15:00,127.19349482122558
2012-01-01 05:30:00,166.36760976671707
2012-01-01 05:45:00,210.09514227879674
2012-01-01 06:00:00,236.866572305376
2012-01-01 06:15:00,227.56318502426535
2012-01-01 06:30:00,261.0478732752182
2012-01-01 06:45:00,234.15707475654506
2012-01-01 07:00:00,229.0269099493685
2012-01-01 07:15:00,218.81454455058088
2012-01-01 07:30:00,173.49716130745344
2012-01-01 07:45:00,187.2158186583203
2012-01-01 08:00:00,153.3362867238364
2012-01-01 08:15:00,171.55830841789492
2012-01-01 08:30:00,165.10482288790752
2012-01-01 08:45:00,160.60471319778426
2012-01-01 09:00:00,120.41552575329436
2012-01-01 09:15:00,74.66350415294565
2012-01-01 09:30:00,116.16712273577762
2012-01-01 09:45:00,160.5609406563873
2012-01-01 10:00:00,187.019119087697
2012-01-01 10:15:00,236.48285620859764
2012-01-01 10:30:00,239.64132093886252
2012-01-01 10:45:00,222.1644393792422
2012-01-01 11:00:00,218.43764341442284
2012-01-01 11:15:00,194.69542262796938
2012-01-01 11:30:00,193.01122131730696
2012-01-01 11:45:00,212.1136267452918
2012-01-01 12:00:00,226.8924596983519
2012-01-01 12:15:00,204.54076998377312
2012-01-01 12:30:00,200.97456079957365
2012-01-01 12:45:00,177.47497466051948
2012-01-01 13:00:00,224.01832447935888
2012-01-01 13:15:00,194.19212433352735
2012-01-01 13:30:00,211.00595424367515
2012-01-01 13:45:00,226.3331099030791
2012-01-01 14:00:00,272.4022781877669
2012-01-01 14:15:00,271.90077309464425
2012-01-01 14:30:00,247.34517858362287
2012-01-01 14:45:00,297.19627740895993
2012-01-01 15:00:00,312.49931385827216
2012-01-01 15:15:00,351.638395459446
2012-01-01 15:30:00,308.1540124443654
2012-01-01 15:45:00,334.1420125819561
2012-01-01 16:00:00,343.5994389194174
2012-01-01 16:15:00,340.1601505318132
2012-01-01 16:30:00,301.64467801525575
2012-01-01 16:45:00,317.5749581539462
2012-01-01 17:00:00,268.36692200453194
2012-01-01 17:15:00,259.1978642278833
2012-01-01 17:30:00,238.01410557080095
2012-01-01 17:45:00,279.0959469735337
2012-01-01 18:00:00,304.38670051805286
2012-01-01 18:15:00,288.2992536394589
2012-01-01 18:30:00,274.12538473583436
2012-01-01 18:45:00,297.11246119883316
2012-01-01 19:00:00,313.00037575580683
2012-01-01 19:15:00,323.43499207606357
2012-01-01 19:30:00,352.07585323285105
2012-01-01 19:45:00,353.29053989546435
2012-01-01 20:00:00,382.13397714621294
2012-01-01 20:15:00,400
2012-01-01 20:30:00,355.8332781845203
2012-01-01 20:45:00,342.95658442890027
2012-01-01 21:00:00,326.54672601512135
2012-01-01 21:15:00,304.06556816808575
2012-01-01 21:30:00,352.06393424365274
2012-01-01 21:45:00,302.3889806557589
2012-01-01 22:00:00,258.7293294673117
2012-01-01 22:15:00,272.5515664115396
2012-01-01 22:30:00,256.2328634311871
