Eboiler_data
time,eboiler_dem
2012-01-01 00:00:00,332.70952121891645
2012-01-01 00:15:00,343.5207236095307
2012-01-01 00:30:00,301.8140202872095
2012-01-01 00:45:00,335.2564225135876
2012-01-01 01:00:00,365.1594339728805
2012-01-01 01:15:00,393.4875620403521
2012-01-01 01:30:00,362.17383625176205
2012-01-01 01:45:00,371.8301408747265
2012-01-01 02:00:00,400
2012-01-01 02:15:00,369.1517305323487
2012-01-01 02:30:00,400
2012-01-01 02:45:00,350.4733653586344
2012-01-01 03:00:00,388.0100179872658
2012-01-01 03:15:00,338.04413288921785
2012-01-01 03:30:00,318.0211231703013
2012-01-01 03:45:00,284.3978934987859
2012-01-01 04:00:00,293.73180625850716
2012-01-01 04:15:00,279.62845844926596
2012-01-01 04:30:00,254.78632025738253
2012-01-01 04:45:00,265.4647011255919
2012-01-01 05:00:00,261.0273173854967
2012-01-01 05:15:00,242.46535313617218
2012-01-01 05:30:00,287.39346214622344
2012-01-01 05:45:00,260.15276132452027
2012-01-01 06:00:00,296.3231957367889
2012-01-01 06:15:00,250.32858237364422
2012-01-01 06:30:00,251.71720676768132
2012-01-01 06:45:00,208.7526102383563
2012-01-01 07:00:00,244.34695042207403
2012-01-01 07:15:00,259.8018885717538
2012-01-01 07:30:00,307.57074980493957
2012-01-01 07:45:00,316.4420322652424
2012-01-01 08:00:00,362.01926913524557
2012-01-01 08:15:00,320.3366451760552
2012-01-01 08:30:00,289.15741085844877
2012-01-01 08:45:00,310.17370615588254
2012-01-01 09:00:00,309.5524529292693
2012-01-01 09:15:00,305.7049100219534
2012-01-01 09:30:00,306.282830679327
2012-01-01 09:45:00,340.39505062431704
2012-01-01 10:00:00,315.4142105254622
2012-01-01 10:15:00,323.29661637964097
2012-01-01 10:30:00,350.2323747873696
2012-01-01 10:45:00,369.53485475175626
2012-01-01 11:00:00,352.93098159778964
2012-01-01 11:15:00,367.95292853544987
2012-01-01 11:30:00,360.67053439116455
2012-01-01 11:45:00,372.95699785690584
2012-01-01 12:00:00,400
2012-01-01 12:15:00,400
2012-01-01 12:30:00,350.06088675723583
2012-01-01 12:45:00,397.9006423422274
2012-01-01 13:00:00,373.90880404181
2012-01-01 13:15:00,324.8630079872367
2012-01-01 13:30:00,280.0055499988266
2012-01-01 13:45:00,245.62914139401983
2012-01-01 14:00:00,266.4051302502725
2012-01-01 14:15:00,246.58934583926722
2012-01-01 14:30:00,282.14197306952065
2012-01-01 14:45:00,249.7065501862059
2012-01-01 15:00:00,285.7143539202069
2012-01-01 15:15:00,259.4772394079899
2012-01-01 15:30:00,274.0706723978769
2012-01-01 15:45:00,236.60235944987983
2012-01-01 16:00:00,236.62703357464494
2012-01-01 16:15:00,230.47438533937333
2012-01-01 16:30:00,190.44033284947096
2012-01-01 16:45:00,180.68800376137864
2012-01-01 17:00:00,212.43557664205383
2012-01-01 17:15:00,255.9904802531632
2012-01-01 17:30:00,219.6456853780465
2012-01-01 17:45:00,224.16596134818917
2012-01-01 18:00:00,270.2457869851935
2012-01-01 18:15:00,252.4778654873144
2012-01-01 18:30:00,254.6557995883284
2012-01-01 18:45:00,247.81416968003143
2012-01-01 19:00:00,290.75550959389653
2012-01-01 19:15:00,253.62383878655297
