Battery_data
time,flow2b
2012-01-01 00:00:00,8.959059857745629
2012-01-01 00:15:00,56.49415798656037
2012-01-01 00:30:00,9.323975057439306
2012-01-01 00:45:00,51.43177414553029
2012-01-01 01:00:00,39.6009831486327
2012-01-01 01:15:00,66.46317084148274
2012-01-01 01:30:00,77.10717916719136
2012-01-01 01:45:00,100
2012-01-01 02:00:00,63.02393430773057
2012-01-01 02:15:00,26.074106287467913
2012-01-01 02:30:00,48.517862360907486
2012-01-01 02:45:00,79.90264134751668
2012-01-01 03:00:00,62.55810173224443
2012-01-01 03:15:00,69.01575328895784
2012-01-01 03:30:00,69.51957113254377
2012-01-01 03:45:00,22.497310106247753
2012-01-01 04:00:00,-8.411149840996373
2012-01-01 04:15:00,6.534120027206669
2012-01-01 04:30:00,-1.6973322751529665
2012-01-01 04:45:00,24.44560499619498
2012-01-01 05:00:00,14.853909709114234
2012-01-01 05:15:00,61.834802268548586
2012-01-01 05:30:00,80.88827572762642
2012-01-01 05:45:00,100
2012-01-01 06:00:00,86.72881033508709
2012-01-01 06:15:00,60.546688478886495
2012-01-01 06:30:00,62.74523790511285
2012-01-01 06:45:00,41.13388476140422
2012-01-01 07:00:00,29.091751286912917
2012-01-01 07:15:00,6.885509263583959
2012-01-01 07:30:00,-13.940523903610032
2012-01-01 07:45:00,-55.898308574897996
2012-01-01 08:00:00,-69.33989360342207
2012-01-01 08:15:00,-100
2012-01-01 08:30:00,-82.2559059728198
2012-01-01 08:45:00,-100
2012-01-01 09:00:00,-100
2012-01-01 09:15:00,-100
2012-01-01 09:30:00,-100
2012-01-01 09:45:00,-100
2012-01-01 10:00:00,-82.15279459936386
2012-01-01 10:15:00,-57.7431812923688
2012-01-01 10:30:00,-19.14947895505304
2012-01-01 10:45:00,-60.87146938992319
2012-01-01 11:00:00,-25.02747591661705
2012-01-01 11:15:00,-3.297454979008876
2012-01-01 11:30:00,20.646852917875904
2012-01-01 11:45:00,-19.334674443135057
2012-01-01 12:00:00,-57.57029954922048
2012-01-01 12:15:00,-73.34651389973658
2012-01-01 12:30:00,-100
2012-01-01 12:45:00,-100
2012-01-01 13:00:00,-100
2012-01-01 13:15:00,-95.93609626464956
2012-01-01 13:30:00,-59.79738006251873
2012-01-01 13:45:00,-56.120233362882125
2012-01-01 14:00:00,-27.973488878691576
2012-01-01 14:15:00,-48.072196640463176
2012-01-01 14:30:00,-28.592793329641893
2012-01-01 14:45:00,-26.69245889674285
2012-01-01 15:00:00,-41.10218522812666
2012-01-01 15:15:00,-46.69149064486891
2012-01-01 15:30:00,-39.900733182121385
2012-01-01 15:45:00,4.841473957257691
2012-01-01 16:00:00,-29.116099616775756
2012-01-01 16:15:00,12.670954924919371
2012-01-01 16:30:00,-4.2563491711227
2012-01-01 16:45:00,-41.44842470955134
2012-01-01 17:00:00,-29.755795706409096
