H2demand_data2
date,demand
2012-01-01 00:00:00,0.0
2012-01-01 00:15:00,104.0
2012-01-01 00:30:00,104.0
2012-01-01 00:45:00,104.0
2012-01-01 01:00:00,104.0
2012-01-01 01:15:00,104.0
2012-01-01 01:30:00,0.0
2012-01-01 01:45:00,0.0
2012-01-01 02:00:00,129.0
2012-01-01 02:15:00,129.0
2012-01-01 02:30:00,0.0
2012-01-01 02:45:00,0.0
2012-01-01 03:00:00,129.0
2012-01-01 03:15:00,129.0
2012-01-01 03:30:00,129.0
2012-01-01 03:45:00,0.0
2012-01-01 04:00:00,0.0
2012-01-01 04:15:00,0.0
2012-01-01 04:30:00,102.33333333333333
2012-01-01 04:45:00,102.33333333333333
2012-01-01 05:00:00,102.33333333333333
2012-01-01 05:15:00,102.33333333333333
2012-01-01 05:30:00,102.33333333333333
2012-01-01 05:45:00,102.33333333333333
2012-01-01 06:00:00,0.0
2012-01-01 06:15:00,0.0
2012-01-01 06:30:00,0.0
2012-01-01 06:45:00,115.8
2012-01-01 07:00:00,115.8
2012-01-01 07:15:00,115.8
2012-01-01 07:30:00,115.8
2012-01-01 07:45:00,115.8
2012-01-01 08:00:00,0.0
2012-01-01 08:15:00,0.0
2012-01-01 08:30:00,113.4
2012-01-01 08:45:00,113.4
2012-01-01 09:00:00,113.4
2012-01-01 09:15:00,113.4
2012-01-01 09:30:00,113.4
2012-01-01 09:45:00,0.0
2012-01-01 10:00:00,0.0
2012-01-01 10:15:00,0.0
2012-01-01 10:30:00,142.33333333333334
2012-01-01 10:45:00,142.33333333333334
2012-01-01 11:00:00,142.33333333333334
2012-01-01 11:15:00,0.0
2012-01-01 11:30:00,110.0
2012-01-01 11:45:00,110.0
2012-01-01 12:00:00,110.0
2012-01-01 12:15:00,110.0
2012-01-01 12:30:00,0.0
2012-01-01 12:45:00,116.0
2012-01-01 13:00:00,116.0
2012-01-01 13:15:00,0.0
2012-01-01 13:30:00,136.5
2012-01-01 13:45:00,136.5
2012-01-01 14:00:00,0.0
2012-01-01 14:15:00,115.2
2012-01-01 14:30:00,115.2
2012-01-01 14:45:00,115.2
2012-01-01 15:00:00,115.2
2012-01-01 15:15:00,115.2
2012-01-01 15:30:00,0.0
2012-01-01 15:45:00,0.0
2012-01-01 16:00:00,94.66666666666667
2012-01-01 16:15:00,94.66666666666667
2012-01-01 16:30:00,94.66666666666667
2012-01-01 16:45:00,0.0
2012-01-01 17:00:00,0.0
2012-01-01 17:15:00,114.75
2012-01-01 17:30:00,114.75
2012-01-01 17:45:00,114.75
2012-01-01 18:00:00,114.75
2012-01-01 18:15:00,0.0
2012-01-01 18:30:00,0.0
2012-01-01 18:45:00,102.16666666666667
2012-01-01 19:00:00,102.16666666666667
2012-01-01 19:15:00,102.16666666666667
2012-01-01 19:30:00,102.16666666666667
2012-01-01 19:45:00,102.16666666666667
2012-01-01 20:00:00,102.16666666666667
2012-01-01 20:15:00,0.0
2012-01-01 20:30:00,0.0
2012-01-01 20:45:00,0.0
2012-01-01 21:00:00,122.0
2012-01-01 21:15:00,122.0
2012-01-01 21:30:00,122.0
2012-01-01 21:45:00,122.0
2012-01-01 22:00:00,122.0
2012-01-01 22:15:00,0.0
2012-01-01 22:30:00,0.0
2012-01-01 22:45:00,144.0
2012-01-01 23:00:00,144.0
2012-01-01 23:15:00,144.0
2012-01-01 23:30:00,0.0
2012-01-01 23:45:00,0.0
2012-01-02 00:00:00,0.0
2012-01-02 00:15:00,103.5
2012-01-02 00:30:00,103.5
2012-01-02 00:45:00,0.0
2012-01-02 01:00:00,0.0
2012-01-02 01:15:00,0.0
2012-01-02 01:30:00,105.0
2012-01-02 01:45:00,105.0
2012-01-02 02:00:00,105.0
2012-01-02 02:15:00,105.0
2012-01-02 02:30:00,105.0
2012-01-02 02:45:00,105.0
2012-01-02 03:00:00,0.0
2012-01-02 03:15:00,0.0
2012-01-02 03:30:00,0.0
2012-01-02 03:45:00,117.4
2012-01-02 04:00:00,117.4
2012-01-02 04:15:00,117.4
2012-01-02 04:30:00,117.4
2012-01-02 04:45:00,117.4
2012-01-02 05:00:00,0.0
2012-01-02 05:15:00,101.4
2012-01-02 05:30:00,101.4
2012-01-02 05:45:00,101.4
2012-01-02 06:00:00,101.4
2012-01-02 06:15:00,101.4
2012-01-02 06:30:00,0.0
2012-01-02 06:45:00,108.6
2012-01-02 07:00:00,108.6
2012-01-02 07:15:00,108.6
2012-01-02 07:30:00,108.6
2012-01-02 07:45:00,108.6
2012-01-02 08:00:00,0.0
2012-01-02 08:15:00,0.0
2012-01-02 08:30:00,0.0
2012-01-02 08:45:00,141.5
2012-01-02 09:00:00,141.5
2012-01-02 09:15:00,0.0
2012-01-02 09:30:00,111.16666666666667
2012-01-02 09:45:00,111.16666666666667
2012-01-02 10:00:00,111.16666666666667
2012-01-02 10:15:00,111.16666666666667
2012-01-02 10:30:00,111.16666666666667
2012-01-02 10:45:00,111.16666666666667
2012-01-02 11:00:00,0.0
2012-01-02 11:15:00,0.0
2012-01-02 11:30:00,0.0
2012-01-02 11:45:00,108.71428571428571
2012-01-02 12:00:00,108.71428571428571
2012-01-02 12:15:00,108.71428571428571
2012-01-02 12:30:00,108.71428571428571
2012-01-02 12:45:00,108.71428571428571
2012-01-02 13:00:00,108.71428571428571
2012-01-02 13:15:00,108.71428571428571
2012-01-02 13:30:00,0.0
2012-01-02 13:45:00,102.66666666666667
2012-01-02 14:00:00,102.66666666666667
2012-01-02 14:15:00,102.66666666666667
2012-01-02 14:30:00,0.0
2012-01-02 14:45:00,0.0
2012-01-02 15:00:00,114.5
2012-01-02 15:15:00,114.5
2012-01-02 15:30:00,114.5
2012-01-02 15:45:00,114.5
2012-01-02 16:00:00,114.5
2012-01-02 16:15:00,114.5
2012-01-02 16:30:00,0.0
2012-01-02 16:45:00,0.0
2012-01-02 17:00:00,99.85714285714286
2012-01-02 17:15:00,99.85714285714286
2012-01-02 17:30:00,99.85714285714286
2012-01-02 17:45:00,99.85714285714286
2012-01-02 18:00:00,99.85714285714286
2012-01-02 18:15:00,99.85714285714286
2012-01-02 18:30:00,99.85714285714286
2012-01-02 18:45:00,0.0
2012-01-02 19:00:00,0.0
2012-01-02 19:15:00,112.14285714285714
2012-01-02 19:30:00,112.14285714285714
2012-01-02 19:45:00,112.14285714285714
