iter,grad
1,[-0.73121453 -0.97526731 -0.97526731  1.1        -0.97526731]
2,[0.         0.         0.         1.05537827 0.        ]
3,[0.         0.         0.         1.05537827 0.        ]
4,[0.         0.         0.         1.05537827 0.        ]
5,[0.         0.         0.         1.05537827 0.        ]
6,[0.         0.         0.         1.05537827 0.        ]
7,[0.         0.         0.         1.05537827 0.        ]
8,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
9,[0.         0.         0.         1.05537827 0.        ]
10,[0.         0.         0.         1.05537827 0.        ]
11,[0.         0.         0.         1.05537827 0.        ]
12,[0.         0.         0.         1.05537827 0.        ]
13,[0.         0.         0.         1.05537827 0.        ]
14,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
15,[0.         0.         0.         1.05537827 0.        ]
