iter,grad
1,[0.35599203 0.         0.         0.         0.        ]
2,[0.35599203 0.         0.         0.         0.        ]
3,[0.35599203 0.         0.         0.         0.        ]
4,[0.35599203 0.         0.         0.         0.        ]
5,[0.35599203 0.         0.         0.         0.        ]
6,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
7,[0.35599203 0.         0.         0.         0.        ]
